"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25144","Add product failed, Required field: Product Name is NULL ","eCommerce CMS","Sun Apr 12 01:41:08 UTC 2026","failed","Sun Apr 12 01:41:33 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withProductNameNull"
"","25156","testAddNewBrand","eCommerce CMS","Sun Apr 12 01:39:12 UTC 2026","failed","Sun Apr 12 01:39:37 UTC 2026","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testAddNewBrand"
"","2876","Add product failed, Required field: Unit is are NULL ","eCommerce CMS","Sun Apr 12 01:41:34 UTC 2026","failed","Sun Apr 12 01:41:37 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitNull"
"","24880","testDeleteBrand","eCommerce CMS","Sun Apr 12 01:39:38 UTC 2026","failed","Sun Apr 12 01:40:03 UTC 2026","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testDeleteBrand"
"","25307","testDataTable","eCommerce CMS","Sun Apr 12 01:41:13 UTC 2026","failed","Sun Apr 12 01:41:39 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDataTable"
"","5166","testLoginSuccess","eCommerce CMS","Sun Apr 12 01:38:53 UTC 2026","passed","Sun Apr 12 01:38:58 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginSuccess"
"","25238","testNavigateCategoryPage","eCommerce CMS","Sun Apr 12 01:39:18 UTC 2026","failed","Sun Apr 12 01:39:44 UTC 2026","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateCategoryPage"
"","25575","Add product and Check product details","eCommerce CMS","Sun Apr 12 01:40:36 UTC 2026","failed","Sun Apr 12 01:41:02 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddNewProductSuccess"
"","3088","testPasswordNull","eCommerce CMS","Sun Apr 12 01:39:08 UTC 2026","passed","Sun Apr 12 01:39:11 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testPasswordNull"
"","2902","Add product failed, Required field: Unit price is NULL ","eCommerce CMS","Sun Apr 12 01:41:40 UTC 2026","failed","Sun Apr 12 01:41:43 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitPriceNull"
"","2936","testEditProduct","eCommerce CMS","Sun Apr 12 01:41:45 UTC 2026","failed","Sun Apr 12 01:41:48 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testEditProduct"
"","25371","testDeleteCategory","eCommerce CMS","Sun Apr 12 01:40:47 UTC 2026","failed","Sun Apr 12 01:41:13 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDeleteCategory"
"","24971","searchDataTable","eCommerce CMS","Sun Apr 12 01:40:10 UTC 2026","failed","Sun Apr 12 01:40:35 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","searchDataTable"
"","3027","testAddNewCategory","eCommerce CMS","Sun Apr 12 01:40:10 UTC 2026","failed","Sun Apr 12 01:40:13 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testAddNewCategory"
"","2910","Add product failed, Required field: Discount is NULL ","eCommerce CMS","Sun Apr 12 01:41:02 UTC 2026","failed","Sun Apr 12 01:41:05 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withDiscountNull"
"","3317","testIncorrectFormatEmail","eCommerce CMS","Sun Apr 12 01:38:49 UTC 2026","passed","Sun Apr 12 01:38:52 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testIncorrectFormatEmail"
"","7066","testLogout","eCommerce CMS","Sun Apr 12 01:38:45 UTC 2026","passed","Sun Apr 12 01:38:52 UTC 2026","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testLogout"
"","26303","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","Sun Apr 12 01:38:45 UTC 2026","failed","Sun Apr 12 01:39:11 UTC 2026","AT04_CMS.testcases.FlowTest","Login, Dashboard, Brand","AT04_CMS.testcases.FlowTest","testFlow"
"","25085","testNavigateProductPage","eCommerce CMS","Sun Apr 12 01:39:44 UTC 2026","failed","Sun Apr 12 01:40:09 UTC 2026","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateProductPage"
"","4365","testLoginWithEmailInvalid","eCommerce CMS","Sun Apr 12 01:38:58 UTC 2026","passed","Sun Apr 12 01:39:03 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithEmailInvalid"
"","24721","Add category failed, Required field: Name is NULL","eCommerce CMS","Sun Apr 12 01:40:22 UTC 2026","failed","Sun Apr 12 01:40:47 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testAddNewCategoryNull"
"","29346","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","Sun Apr 12 01:37:50 UTC 2026","failed","Sun Apr 12 01:38:20 UTC 2026","AT04_CMS.testcases.FlowTest","Flow test","AT04_CMS.testcases.FlowTest","testFlow"
"","3584","testEmailNull","eCommerce CMS","Sun Apr 12 01:38:45 UTC 2026","passed","Sun Apr 12 01:38:48 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testEmailNull"
"","26713","testAddBrandNullName","eCommerce CMS","Sun Apr 12 01:38:45 UTC 2026","failed","Sun Apr 12 01:39:11 UTC 2026","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testAddBrandNullName"
"","25317","testNavigateBrandPage","eCommerce CMS","Sun Apr 12 01:38:52 UTC 2026","failed","Sun Apr 12 01:39:18 UTC 2026","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateBrandPage"
"","4592","testLoginWithPasswordInvalid","eCommerce CMS","Sun Apr 12 01:39:03 UTC 2026","passed","Sun Apr 12 01:39:08 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithPasswordInvalid"
"","3035","update Ordering Number","eCommerce CMS","Sun Apr 12 01:40:16 UTC 2026","failed","Sun Apr 12 01:40:19 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testEditCategory"
